number,substituent,σm,σp,F,R,References
443,Sn(Et)_3,0.00,0.00,0.03,-0.03,"74, 183"
444,P(=NSO_2CF_3)(C_3F_7)_2,1.24,1.37,1.11,0.26,63
445,Si(NMe_2)_3,-0.04,-0.04,0.00,-0.04,74
446,2-benzoxazolyl,0.30,0.33,0.30,0.04,138
447,2-benzthiazolyl,0.27,0.29,0.27,0.02,138
448,COC_6H_5,0.34,0.43,0.31,0.12,180
449,OCOC_6H_5,0.21,0.13,0.26,-0.13,156
450,COOC_6H_5,0.37,0.44,0.34,0.10,128
451,N\=CHC_6H_5,-0.08,-0.55,0.14,-0.69,156
452,CH\=NC_6H_5,0.35,0.42,0.33,0.09,"136,137"
453,NHCOC_6H_5,0.02,-0.19,0.13,-0.32,156
454,CONHC_6H_5,0.23,0.41,0.17,0.24,"74, 175"
455,C_6H_4-4-Me,0.06,-0.03,0.12,-0.15,85
456,CH_2C_6H_5,-0.08,-0.09,-0.04,-0.05,170
457,N=NC_6H_3-5-Me-2-OH,0.27,0.31,0.26,0.05,156
458,C_6H_4-4-OMEe,0.05,-0.08,0.13,-0.21,85
459,CH(OH)C_6H_5,0.00,-0.03,0.05,-0.08,"74, 175"
460,CH_2OC_6H_5,0.06,0.07,0.08,-0.01,"128,282"
461,CH_2SO_2C_6H_5,0.15,0.16,0.17,-0.01,"128, 282"
462,C(Et)_3,-0.07,-0.20,0.02,-0.22,85
463,(CH_2)_6CH_3,-0.07,-0.16,0.00,-0.16,85
464,SiMe(OSi(Me)_3)_2,-0.02,-0.01,0.01,-0.02,160
465,CF_2CF_2C_6H_4-4-F,0.34,0.39,0.32,0.01,109
466,C///CC_6H_5,0.14,0.16,0.15,0.01,170
467,CH=NCOC_6H_5,0.39,0.51,0.34,0.17,74
468,CH=CHC_6H_5,0.03,-0.07,0.10,-0.17,186
469,CH_2Fe(CO)_2(?-C_5H_5),-0.26,-0.49,-0.11,-0.38,150
470,CH=NNHCOC_6H_5,0.39,0.51,0.34,0.17,93
471,N=CHC_6H_4-4-OMe,-0.07,-0.54,0.15,-0.69,156
472,NHCOC_6H_4-4-OMe,0.09,-0.06,0.17,-0.23,156
473,SCH=NSO_2C_6H_4-4-Me,0.65,0.70,0.61,0.09,74
474,C_6H_4-4-Et,0.07,-0.02,0.13,-0.15,85
475,CH_2CH_2C_6H_5,-0.07,-0.12,-0.01,-0.11,74
476,N=C(Me)NHC_6H_5,0.29,0.08,0.38,-0.30,133
477,Si(C_6H_5)(Me)_2,0.04,0.07,0.06,0.01,74
478,S(Me)=NSO_2C_6H_4-4-Me,0.65,0.70,0.61,0.09,205
479,"2,4,6-trimethylpyridinium",0.62,0.58,0.61,-0.03,73
480,PO(CMe_3)_2,0.31,0.41,0.28,0.13,79
481,PO(C_4H_9)_2,0.35,0.49,0.30,0.19,152
482,PO(OC_4H_9)_2,0.41,0.57,0.35,0.22,85
483,P(CMe_3)_2,0.01,0.15,-0.01,0.16,69
484,C_6H_5Cr(CO)_3,0.29,0.14,0.36,-0.22,104
485,2-benzo-4-thiopyronyl,0.34,0.35,0.34,0.01,115
486,2-(benzothiopyronyl),0.48,0.45,0.48,-0.03,115
487,"2-(benzo-1,4-pyronyl)",0.41,0.40,0.41,-0.01,115
488,CH=CHCOC_6H_4-4-NO_2,0.15,0.05,0.21,-0.16,155
489,CH_2Mo(CO)_3(C_5H_5),-0.21,-0.45,-0.07,-0.38,150
490,CH=CHCOC_6H_5,0.18,0.05,0.25,-0.20,155
491,C_6H_4-4-CHMe_2,0.08,0.01,0.13,-0.12,85
492,Si(OSiMe_3)_3,-0.09,-0.01,-0.08,0.07,160
493,ferrocenyl,-0.15,-0.18,-0.09,-0.09,141
494,ferricenium+,0.29,0.29,0.30,-0.01,100
495,ferrocenonium+,0.05,0.29,-0.01,0.30,101
496,C_6H_4-4-CMe_3,0.07,0.01,0.12,+ll,85
497,1-adamantyl,-0.12,-0.13,-0.07,-0.06,149
498,1-dibenzarsenyl,0.19,0.13,0.23,-0.10,65
499,1-dibenzoarsoxyl,0.17,0.09,0.22,-0.13,65
500,1-dibenzoarsazinyl,0.14,0.09,0.18,-0.09,66
501,As(C_6H_5)_2,0.03,0.09,0.04,0.05,125
502,AsO(C_6H_5)_2,0.54,0.64,0.49,0.15,81
503,P(C_6H_5)_2(BCl_3),0.67,0.72,0.62,0.10,164
504,N(C_6H_5)_2,0.00,-0.22,0.12,-0.34,"168,169"
505,PO(C_6H_5)_2,0.38,0.53,0.32,0.21,144
506,P(C_6H_5)_2,0.11,0.19,0.10,0.09,144
507,PS(C_6H_5)_2,0.29,0.47,0.23,0.24,144
508,P(N(C_3H_7)_2)C_6H_4-3-F,0.20,0.24,0.20,0.04,"122, 123"
509,,0.37,0.38,0.37,0.01,61
